It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"The largest group of minerals by far is the silicates ( most rocks are ≥95 % silicates ) , which are made largely of silicon and oxygen , also with ions of aluminium , magnesium , iron , calcium and other metals .","The largest group of minerals by far is the silicates ( most rocks are ≥95 % silicates ) , which are composed largely of silicon and oxygen , with the addition of ions of aluminium , magnesium , iron , calcium and other metals ."
"Sauropods were still present , but they were not as diverse as they were in the Jurassic .","Sauropods were still present , but they were not as diverse as they were in the Jurassic Period ."
"From the fourth season onwards , the BBC showed the series in anamorphic 16:9 widescreen format , but Whedon said that `` Buffy '' was never supposed to be watched this way .","From the fourth season onwards , the BBC aired the show in anamorphic 16:9 widescreen format ."
"O'Donoghue has received honorary doctorates from Murdoch University , the University of South Australia , the Australian National University , the Queensland University of Technology and Flinders University .","O'Donoghue received honorary doctorates from Murdoch University , the University of South Australia , the Australian National University , the Queensland University of Technology and Flinders University ."
This age roughly agrees with stratigraphic evidence using four different dating methods .,This age largely corresponds with stratigraphic evidence using 4 different dating methods .
Shorter molecules move faster and move further than longer ones because shorter molecules get through the pores of the gel more easily .,Shorter molecules move faster and migrate farther than longer ones because shorter molecules migrate more easily through the pores of the gel .
"The anchovy appears to spawn 100 kilometers from the shore , near the surface of the water .","The anchovy appears to spawn at least from the shore , near the surface of the water ."
Sulfur is an essential component to living cells .,Sulfur is an essential component of all living cells .
Burke was considered a medal favourite in the event .,She was considered a medal favourite in the event .
All modern research has shown that this significant genetic variation is common in panmictic populations .,All modern research has shown that this significant genetic variation is ubiquitous in panmictic populations .
"In contrast , mature sperm cells largely use protamines to package their genomic DNA , most likely to achieve an even higher packaging ratio .","In contrast mature sperm cells largely use protamines to package their genomic DNA , most likely because this allows them to achieve an even higher packaging ratio ."
"They are ovoviviparous , and can have up to 13 pups at a time .","They are ovoviviparous , producing litters of up to 13 pups ."
Restriction enzymes probably evolved from a common ancestor and became widespread by horizontal gene transfer .,Restriction enzymes likely evolved from a common ancestor and became widespread via horizontal gene transfer .
Alfred Hershey and Martha Chase took Avery 's research further in 1952 with the Hershey–Chase experiment .,Alfred Hershey and Martha Chase furthered Avery 's research in 1952 with the Hershey–Chase experiment .
Dimorphodon was a prehistoric flying pterosaur from the early Jurassic period .,Dimorphodon was a genus of medium-sized pterosaur from the early Jurassic Period .
"Delporte discovered some comets as well , including periodic comet , 57P/du Toit-Neujmin-Delporte .","He discovered or co-discovered some comets as well , including periodic comet 57P/du Toit-Neujmin-Delporte ."
"When the Castles returned to the U.S. in 1912 , their success was repeated on a far wider scale .","When they returned to the U.S. , their success was repeated on a far wider scale ."
"In the first year it was published , 300,000 copies of the book were sold , and it was translated into many important languages .","In the first year after it was published , 300,000 copies of the book were sold in the United States ; one million copies in Great Britain ."
"In order to enter the cells , proteins found on the surface of the virus interact with proteins of the cell .","To enter the cells , proteins on the surface of the virus interact with proteins of the cell ."
He won the Eckersberg Award in 1950 and the Guggenheim Award in 1958 .,He won the Thorvaldsen Medal in 1963 .
The understanding of crystal structures is needed to understand crystallographic defects .,The understanding of crystal structures is an important prerequisite for understanding crystallographic defects .
"In it , Linnaeus reported the temperatures inside the orangery at the Botanical Garden of Uppsala University :","In it , Linnaeus recounted the temperatures inside the orangery at the Botanical Garden of Uppsala University :"
It was broadcast between 1967 and March 1969 .,It was broadcast between April 1967 and March 1969 .
She was best known for being a member of the group that founded Studioteatret in 1945 .,She was a member of group that founded Studioteatret in 1945 .
"The post glycolytic reactions take place in the mitochondria in eukaryotic cells , and in the cytoplasm in prokaryotic cells .","The post-glycolytic reactions take place in the mitochondria in eukaryotic cells , and in the cytoplasm in prokaryotic cells ."
"There is evidence of an enormous impact basin in the northern hemisphere of Mars , spanning , or roughly four times larger than the largest impact basin yet discovered .","There is evidence of an enormous impact basin in the northern hemisphere of Mars , spanning , or roughly four times larger than the Moon 's South Pole – Aitken basin , the largest impact basin yet discovered ."
