The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
"Gene Okerlund also did interviews backstage , with `` Lord '' Alfred Hayes doing interviews near the entrance to the locker room , right outside the ring .","Okerlund also did interviews backstage , and Alfred Hayes did interviews near the entrance to the locker room , right outside the ring ."
"They have won 13 championships , including four Super Bowls .",The Packers have won 4 Super Bowls .
"Kournikova was born in Moscow , Russia , Union of Soviet Socialist Republics in 1981 .","Anna Kournikova was born in Moscow , Russia , on 7 June 1981 ."
This issue came up in 2003 when Hideki Matsui lost the AL award to Ángel Berroa in a close vote .,This issue arose in 2003 when Hideki Matsui narrowly lost the AL award to Ángel Berroa .
"But if a player captures all four of the opposing player 's evil ghosts , he or she has lost the game .","If a player captures all four of the opposing player 's good ghosts , he or she has won the game ."
The teams compete in the Western Athletic Conference ( WAC ) at the NCAA Division I level .,The Pacific Western Rugby Conference plays at the Division 1AA level .
"Mansfield has a football team , the Mansfield Eagles , an Australian Rules team which plays in the Goulburn Valley Football League .","Mansfield is also the home to the Mansfield Eagles football club , an Australian Rules team competing in the Goulburn Valley Football League ."
"A bell clap is a move where a wrestler slaps both of the ears of an opponent at the same time with the palms of their hands , mess up their balance .",The wrestler slaps both of the opponent 's cheeks with both of their hands .
"Jack Sock beat Denis Kudla , 3–6 , 6–2 , 6–2","Jack Sock defeated Denis Kudla , 3–6 , 6–2 , 6–2"
"It was announced by 2k that `` WWE 2K16 '' would have the `` largest roster in the game 's history '' , featuring over 120 playable characters , and almost double the 67 that were in `` 2K15 '' .","2K announced on their social media accounts that `` WWE 2K16 '' will feature the `` largest roster in the game 's history '' , featuring over 120 unique playable characters , nearly double the 67 that were in last year 's game ."
"At the 2013 IPC Swimming World Championships in Montreal , Mustafaiev won a gold in the men’s 50 freestyle S4 with a time of 37.96 seconds .","In Montreal for the 2013 IPC Swimming World Championships , Mustafaiev claimed gold in the men’s 50 freestyle S4 with a time of 37.96 seconds ."
"At the same time , Abdur-Rahim ended a streak of having played the most number of games in NBA history without participating in the post-season .","At the same time , he ended a streak of having played the most number of games in NBA history without participating in the post-season ."
"In May 2009 , Alexei Shirov achieved the greatest triumph of his career by placing 1st in the high Category 21 M-Tel Masters 2009 tournament , a double round tournament held in Sofia , Bulgaria .","In May 2009 , Alexei Shirov achieved one of the greatest triumphs of his career by placing 1st in the Category 21 M-Tel Masters 2009 tournament , a double round tournament held in Sofia , Bulgaria ."
"Aberdeen Football Club ( also known as The Dons , The Reds and The Dandies ) is a Scottish professional football club based in Aberdeen .","Aberdeen Football Club ( also known as The Dons or The Reds ) are a Scottish professional football club based in Aberdeen , Scotland ."
He also earned the first pole position for India for the feature race in Brands Hatch in 2008 .,He got pole in the feature race in Brands Hatch in 2008 .
"They make everyone follow the game 's rules by getting rid of spammers , player killers , cheaters , and hackers and by solving players ' problems by giving general customer service .","They enforce the game 's rules by banishing spammers , player killers , cheaters , and hackers and by solving players ' problems by providing general customer service ."
"The men 's tournament was first played at the 1920 Summer Olympics , but was moved to the Winter Olympics in 1924 .",The women 's tournament was first held at the 1998 Winter Olympics .
"The LNR recovers directly from Ringuette Canada , the guiding organisation for the ringette in Canada .","The NRL is affiliated with Ringette Canada , the guiding organisation for ringette in Canada ."
"At the start , Patrese and Berger jumped Senna while Piquet got ahead of Boutsen and Mansell .","At the start , Berger got past Mansell while Prost lost out as well ."
"Before playing in the NHL , van Riemsdyk played 29 games of high school hockey at the Christian Brothers Academy in Lincroft , New Jersey .","Trevor van Riemsdyk played high school hockey for Christian Brothers Academy in Lincroft , New Jersey ."
She currently plays for the Amsterdamsche Hockey & Bandy Club and the Netherlands women 's national field hockey team .,She is also a member of the Amsterdamsche Hockey & Bandy Club .
Barinka was drafted 59th overall in the 2003 NHL Entry Draft by the Chicago Blackhawks .,He was drafted 59th overall in the 2nd round of the 2003 NHL Entry Draft by the Chicago Blackhawks .
"In the January 2011 rating list , he overtook Nigel Short , to become the UK 's second highest ranked player after Michael Adams .","In the January 2011 rating list , he briefly topped Nigel Short to become the UK 's second highest ranked player after Michael Adams ."
The 2008–09 Montreal Canadiens season is their 99th season of play and 91st in the National Hockey League ( NHL ) .,The 2008–09 Montreal Canadiens season was their 100th season of play and 92nd in the National Hockey League ( NHL ) .
"Philipp Tischendorf ( born June 7 , 1988 in Berlin , Germany ) is a German figure skater .",Philipp Tischendorf ( born 7 June 1988 ) is a German former competitive figure skater .
"While Haiti has been in several Olympic games since 1928 , no other medals have been won .","While Haiti has participated in several Olympic games since 1928 , no other medals have been won ."
"On July 18 , 2011 , he signed a two-year , $ 5.1 million deal with the Jets when the Thrashers relocated to Winnipeg .","On July 18 , 2011 , Wheeler signed a two-year , $ 5.1 million deal after the Thrashers were relocated and renamed the Winnipeg Jets ."
"At the 2008 Wimbledon Championships , as No.32 seed , Mirza was defeated by qualifier Maria Jose Martinez Sanchez , 6-0 , 4-6 , 9-7 , having had several match points .","At 2008 Wimbledon Championships , as the No ."
"He said he believed in the Canadian swim team to thrive in the future , saying that `` I think in the grand scheme of things , with the people we have , we’ve done an amazing job … As long as we keep that momentum building , I think we’re going to see more success come from more diverse events . ''","Hayden announced his retirement from the sport after the 4×100-metre medley relay at the Olympics but said he believed in the Canadian swim team to thrive in the future , saying that `` I think in the grand scheme of things , with the people we have , we’ve done an amazing job … As long as we keep that momentum building , I think we’re going to see more success come from more diverse events . ''"
"While playing for the Bridegrooms , the `` New York Clipper '' described Burns as `` the noisiest man that ever played on the Brooklyn team .","While he was playing for the Bridegrooms , the `` New York Clipper '' described Burns as `` the noisiest man that ever played on the Brooklyn team ."
"From July 1952 to September 30 , 1955 , the club was named `` Club de Gimnasia y Esgrima de Eva Perón '' , due to the fact that the city of La Plata itself had been renamed `` Eva Perón '' in 1952 , after Eva Perón 's death .","From July 1952 to 30 September 1955 , the club was named `` Club de Gimnasia y Esgrima de Eva Perón '' ( `` Gymnastics and Fencing Club of Eva Perón '' ) , because the city of La Plata itself had been renamed `` Eva Perón '' in 1952 , after Eva Perón 's death ."
